# Empirical Indian portion sizes — grams of each food per SERVING, derived from the INDB
# recipe corpus: 1014 real recipes / 10271 ingredient lines, each with an IFCT food code,
# a gram amount and a serving count. portion = median(amount / no_of_servings).
# Only lines measured in g or ml are used (5232 of 10271); tsp/tbsp/sprig lines are skipped
# because converting them needs a per-food density we do not have.
# n = how many recipes contribute. p25/p75 show the spread — a wide spread means the food
# is used in very different quantities across dishes, so the median is weak for it.
# This is what Indians actually put in a dish, not what a US measuring cup holds.
ifct_code,food_name,n,p25,median_g,p75
G017,Onion  big,313,15.0,25.0,33.3
G008,Chillies  green - all varieties,211,1.7,1.7,3.3
G014,Ginger  fresh,200,3.0,5.0,6.3
M001,Egg  poultry  whole  raw,188,12.5,25.0,50.0
T501,Butter  unsalted,176,7.5,10.0,15.0
G012,Garlic  small clove,172,0.6,1.2,1.2
D075,Tomato  ripe  hybrid,170,25.0,50.0,50.0
A018,Wheat flour  refined,169,12.5,16.7,28.6
K505,Water  distilled,166,25.0,50.0,120.0
T508,Oil  sunflower,163,10.0,160.0,480.0
L002,Milk  whole  Cow,143,37.5,80.0,150.0
I502,Sugar  white,141,12.5,15.0,30.0
I504,Sugar  icing,99,10.0,12.5,17.5
F006,Potato  brown skin  big,95,30.0,50.0,100.0
F002,Carrot  orange,89,10.0,20.0,30.0
U511,Bread  white  average,86,15.0,30.0,60.0
L520,Yogurt  whole milk  plain,79,30.0,61.2,100.0
E520,Lemons  flesh only  raw  weighed with peel and pips,69,5.0,8.8,17.5
D061,Peas  fresh,65,20.0,40.0,66.7
G512,Bay leaf  dried,62,0.3,0.4,0.4
L505,Cheese  processed  plain,61,10.0,15.0,25.0
L519,Cream  fresh  single,61,16.7,25.0,75.0
H001,Almond,56,1.1,2.2,3.3
A014,Rice  parboiled  milled,55,25.0,50.0,80.0
A019,Wheat flour  atta,50,18.0,50.0,80.0
A504,Flour  gram,48,15.0,25.0,50.0
L003,Paneer,47,25.0,50.0,60.0
C033,Spinach,45,25.0,50.0,100.0
G022,Chillies  red,45,1.7,3.3,3.3
T506,Ghee  butter,43,5.0,8.3,15.0
H012,Ground nut,38,5.0,10.0,20.0
N003,Chicken  poultry  breast  skinless,37,60.0,100.0,125.0
D033,Capsicum  green,36,10.0,19.3,30.0
C015,Cabbage  green,33,12.5,27.8,44.5
A022,Wheat  semolina,33,5.0,20.0,25.0
B003,Black gram  dal,32,6.7,10.5,25.0
H005,Cashew nut,31,2.8,3.8,6.2
I001,Jaggery  cane,31,10.0,15.0,30.0
B001,Bengal gram  dal,30,10.0,15.0,20.0
D043,Cucumber  green  elongate,27,20.0,30.0,50.0
D050,French beans  hybrid,26,10.0,25.0,30.0
G518,Cinnamon  ground,26,0.6,1.2,2.0
J001,Button mushroom  fresh,25,10.0,20.0,50.0
E001,Apple  big,25,20.0,30.0,62.5
E057,Raisins  dried  black,25,1.3,1.3,2.5
E511,Cherries  glace,25,2.5,5.0,5.0
O502,Lamb  mince  raw,24,60.0,75.0,100.0
D036,Cauliflower,24,25.0,45.0,100.0
L512,Cream  fresh  whipping,24,20.0,57.5,62.5
C025,Lettuce,23,24.0,36.0,48.0
G547,Spring onions  bulbs and tops  raw,23,12.5,25.0,30.0
H018,Pumpkin seeds,23,0.3,0.8,1.7
B010,Green gram  dal,23,10.0,10.0,20.0
A507,Pasta  white  dried  raw,22,37.8,40.0,50.0
H007,Coconut  kernel  fresh,21,12.5,20.0,20.0
E053,Pineapple,20,15.0,30.0,50.0
E014,Cherries  red,18,3.3,5.6,7.5
H006,Coconut  kernal  dry,18,5.0,10.0,20.0
E064,Tamarind  pulp,17,3.0,5.0,10.0
L004,Khoa,16,17.5,31.7,50.0
O064,MUTTON  muscle,16,80.0,100.0,120.0
M002,Egg  poultry  white  raw,16,17.0,17.0,25.5
P057,Pomfret  white,16,100.0,100.0,125.0
G529,Saffron,15,0.0,0.0,0.2
E047,Orange  pulp,15,10.6,21.2,30.0
M003,Egg  poultry  yolk  raw,15,1.0,2.7,8.0
E009,Banana  ripe  montham,14,25.0,36.2,50.0
D037,Celery stalk,14,7.5,14.8,17.0
B501,Beansprouts  mung  boiled in unsalted water,12,20.0,30.0,50.0
H021,Walnut,12,3.1,5.0,10.0
G009,Coriander leaves,12,4.0,5.0,10.0
W504,JAM,11,5.0,10.0,20.0
G016,Mint leaves,11,2.5,4.0,5.0
K507,Stock cubes  vegetable,11,120.0,240.0,360.0
E036,Mango  ripe  banganapalli,10,40.0,50.0,100.0
A503,Flour  corn,10,2.5,6.2,9.8
H505,MIXED NUTS CASHEWS  ALMONDS  HAZELNUTS  PISTACHIOS  PECANS  MIXED NUTS,10,4.2,5.0,15.0
D007,Bottle gourd  elongate  pale green,10,50.0,87.5,116.0
I509,Chocolate  plain,10,2.5,5.0,12.5
V501,Cocoa powder,10,2.5,2.8,3.3
G554,Ginger  ground,10,1.1,1.4,3.2
B021,Red gram  dal,9,10.0,20.0,25.0
K504,Gelatine,9,5.0,5.0,5.0
D066,Pumpkin  orange  round,8,30.0,50.0,100.0
H011,Gingelly seeds  white,8,5.0,6.2,10.0
E033,Lemon  juice,8,9.8,14.1,15.0
C020,Fenugreek leaves,7,25.0,50.0,75.0
D031,Brinjal - all varieties,7,15.0,100.0,150.0
B506,Tofu  soya bean  steamed,7,10.0,20.0,20.0
H013,Mustard seeds,7,1.0,1.7,1.7
K506,Stock cubes  chicken,7,60.0,240.0,480.0
L508,Milk  condensed  whole  sweetened,7,19.0,38.0,66.7
A011,Rice flakes,6,20.0,30.0,30.0
A012,Rice puffed,6,10.0,16.7,30.0
B013,Lentil dal,6,5.0,11.2,20.0
B020,Rajmah  red,6,10.0,12.5,30.0
A003,Bajra,6,12.5,19.4,25.0
G546,Shallots  raw,6,30.6,35.0,35.0
I501,Ice cream  dairy  vanilla  soft scoop,5,15.0,15.0,15.0
E518,Orange juice  freshly squeezed,5,15.0,37.5,75.0
O501,Ham,5,10.0,15.0,30.0
F501,Turnip  flesh only  raw,5,12.5,20.0,20.0
N500,Chicken  whole  corn-fed  raw  meat and skin  weighed with bone,5,100.0,150.0,150.0
D503,Sweetcorn  kernels  raw,5,25.0,36.2,72.5
A024,Wheat  vermicelli  roasted,5,10.0,20.0,20.0
F010,Radish  elongate  white skin,5,29.0,37.5,50.0
C008,Bathua leaves,5,10.0,50.0,100.0
E022,Grapes  seeded  round  black,5,15.0,25.0,25.0
E017,DATES  dried,5,7.3,50.0,62.5
G025,Cumin seeds,5,1.7,2.0,2.0
G528,Salt,5,2.0,2.0,2.0
C500,Broccoli  green  raw,5,60.0,80.0,100.0
H501,Coconut milk,5,15.0,25.0,45.8
D034,Capsicum  red,5,15.0,18.6,18.6
G027,Mace,5,1.0,1.0,1.0
E509,Pears  canned in juice  whole contents,5,40.0,40.0,40.0
A505,Flour  rice,5,10.3,15.0,30.0
L502,Cheese  cottage  plain,4,83.3,94.2,125.0
A510,CRACKED WHEAT,4,20.0,35.0,75.0
A508,Porridge oats  unfortified,4,20.0,22.5,58.5
A501,Breakfast cereal  crunchy clusters type  without nuts  unfortified,4,6.7,18.3,175.5
B509,Chickpeas,4,40.0,45.0,66.7
L503,Cheese  Mozzarella  fresh,4,15.0,15.0,25.0
B025,Soya bean  white,4,15.0,20.0,30.0
D056,Ladies finger,4,80.0,90.0,120.0
E030,Jack fruit  ripe,4,60.0,90.0,120.0
P034,Mackerel,4,100.0,100.0,120.0
G533,Mustard powder,4,0.1,0.1,0.2
I508,Sago  raw,4,30.0,30.0,50.7
E015,Currants  black,4,2.0,2.0,2.5
I503,Sugar  brown,4,7.5,7.5,15.0
O500,Bacon rashers  back  raw,4,20.0,50.0,80.0
L507,Mayonnaise  standard  retail,4,20.0,23.8,55.0
U501,Bread  brown  average,4,30.0,45.0,60.0
D057,Mango  green  raw,3,22.0,30.0,50.0
V503,Cola,3,16.7,125.0,125.0
