command,table,cca_ha,lat,lon,mean_annual_mm_2016_2025,mean_annual_mm_1981_1990,classification
MP-A_enroute,kb_link_main,96751,25.2,78.7,1061.6,781.9,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.2,78.85,1083.3,781.9,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.2,79.0,1098.2,810.5,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.35,78.7,1081.6,781.9,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.35,78.85,1049.7,781.9,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.35,79.0,1049.3,810.5,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.5,78.7,1023.2,769.1,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.5,78.85,1035.6,769.1,not water-stressed (>900mm)
MP-A_enroute,kb_link_main,96751,25.5,79.0,1040.8,798.8,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.6,79.85,1180.1,937.6,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.6,80.0,1199.5,961.0,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.6,80.15,1119.7,981.0,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.75,79.85,1153.2,906.9,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.75,80.0,1197.1,928.2,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.75,80.15,1208.8,988.8,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.9,79.85,1210.0,887.2,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.9,80.0,1141.8,876.4,not water-stressed (>900mm)
MP-B_highlevel_daudhan_pump,kb_link_main,43678,24.9,80.15,1142.4,936.8,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,24.725,79.8,1165.1,906.9,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,24.725,79.95,1197.1,928.2,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,24.725,80.1,1193.0,928.2,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,24.875,79.8,1149.0,887.2,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,24.875,79.95,1173.3,876.4,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,24.875,80.1,1173.4,876.4,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,25.025,79.8,1156.2,887.2,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,25.025,79.95,1200.0,876.4,not water-stressed (>900mm)
MP-C_highlevel_kblink_pump,kb_link_main,42096,25.025,80.1,1157.2,876.4,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.1,79.8,1256.8,963.1,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.1,79.95,1271.5,1007.0,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.1,80.1,1218.8,1007.0,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.25,79.8,1195.9,945.9,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.25,79.95,1237.5,991.5,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.25,80.1,1215.9,991.5,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.4,79.8,1185.4,937.6,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.4,79.95,1179.3,961.0,not water-stressed (>900mm)
MP-D_panna_hatta_lis,kb_link_main,90101,24.4,80.1,1160.0,961.0,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,24.85,80.1,1187.0,928.2,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,24.85,80.25,1196.6,988.8,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,24.85,80.4,1207.3,962.5,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,25.0,80.1,1119.1,876.4,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,25.0,80.25,1144.4,936.8,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,25.0,80.4,1159.8,970.3,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,25.15,80.1,1156.5,876.2,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,25.15,80.25,1123.3,871.3,not water-stressed (>900mm)
MP-E_ken_lbc,kb_link_main,174742,25.15,80.4,1132.1,900.5,not water-stressed (>900mm)
UP-Ai_enroute_jhansi_mahoba,kb_link_main,17488,24.95,79.65,1163.1,887.2,not water-stressed (>900mm)
UP-Ai_enroute_jhansi_mahoba,kb_link_main,17488,24.95,79.8,1210.0,887.2,not water-stressed (>900mm)
UP-Ai_enroute_jhansi_mahoba,kb_link_main,17488,24.95,79.95,1201.2,876.4,not water-stressed (>900mm)
UP-Ai_enroute_jhansi_mahoba,kb_link_main,17488,25.1,79.65,1123.0,887.2,not water-stressed (>900mm)
UP-Ai_enroute_jhansi_mahoba,kb_link_main,17488,25.1,79.8,1109.3,887.2,not water-stressed (>900mm)
UP-Ai_enroute_jhansi_mahoba,kb_link_main,17488,25.1,79.95,1154.4,876.4,not water-stressed (>900mm)
